707,HOGUE S. J.,Hogue,S. J.
708,KEELING H. F. V.,Keeling,H. F. V.
709,Mc.CLEAN F. S.,Mc.Clean,F. S.
710,MORROW L. R.,Morrow,L. R.
711,GRANT A. F.,Grant,A. F.
712,HOLLEBON E.,Hollebon,E.
713,KELMAN G.,Kelman,G.
714,Mc.CLEAN J.,Mc.Clean,J.
715,MORROW S. L.,Morrow,S. L.
716,GRASSICK F.,Grassick,F.
717,HOLLEY W.,Holley,W.
718,KEMP H. Mc. L.,Kemp,H. Mc. L.
719,Mc.COOK L. R.,Mc.Cook,L. R.
720,MOSS E.,Moss,E.
721,GREEN C.,Green,C.
722,HOLLIS R. D.,Hollis,R. D.
723,KENDALL A. W. J.,Kendall,A. W. J.
724,Mc.CRORY J. F.,Mc.Crory,J. F.
725,MOULD W. H.,Mould,W. H.
726,GREIG W. V.,Greig,W. V.
727,HOLMES A. J.,Holmes,A. J.
728,KENDALL E. C.,Kendall,E. C.
729,Mc.CRORY W. H.,Mc.Crory,W. H.
730,MULCANNON J. J.,Mulcannon,J. J.
731,GRIEVE F. W.,Grieve,F. W.
732,HOOKER J. E. H.,Hooker,J. E. H.
733,KENNEDY A.,Kennedy,A.
734,Mc.CULLOCH A. H.,Mc.Culloch,A. H.
735,MUNN V.,Munn,V.
736,GRIEVE G. M.,Grieve,G. M.
737,HOOKER P. J.,Hooker,P. J.
738,KENNEDY P.,Kennedy,P.
739,Mc.CULLOCH E. H.,Mc.Culloch,E. H.
740,MURRAY E. J.,Murray,E. J.
741,GRIFFITHS F. G.,Griffiths,F. G.
742,HOOTON F. C.,Hooton,F. C.
743,KENT H. R.,Kent,H. R.
744,Mc.FADDEN G. G.,Mc.Fadden,G. G.
745,MURRAY H. F.,Murray,H. F.
746,HALE L. C. D.,Hale,L. C. D.
747,HOPE G.,Hope,G.
748,KEOGH A. P.,Keogh,A. P.
749,Mc.FADDEN R. A.,Mc.Fadden,R. A.
750,MURRAY P.,Murray,P.
751,HALES C. M. B.,Hales,C. M. B.
752,HOPE J. P.,Hope,J. P.
753,KEOGH R. F.,Keogh,R. F.
754,Mc.FADDEN W. A.,Mc.Fadden,W. A.
755,MURRAY P. V.,Murray,P. V.
756,HALL A. T.,Hall,A. T.
757,HOPE R. M.,Hope,R. M.
758,KERNAGHAN J.,Kernaghan,J.
759,Mc.GIBBON O. P.,Mc.Gibbon,O. P.
760,MUSMAN E. B.,Musman,E. B.
761,HALL O.,Hall,O.
762,HORNE K.,Horne,K.
763,KERR A. E.,Kerr,A. E.
764,Mc.GOVERN J.,Mc.Govern,J.
765,NALDER L. A.,Nalder,L. A.
766,HALL T. E.,Hall,T. E.
767,HORSMAN G.,Horsman,G.
768,KERR I. W.,Kerr,I. W.
769,Mc.GRATH F.,Mc.Grath,F.
770,NASMYTH C. S.,Nasmyth,C. S.
771,HAM W. J.,Ham,W. J.
772,HORSNELL F. J.,Horsnell,F. J.
773,KERR W. H.,Kerr,W. H.
774,Mc.GRATH J. A.,Mc.Grath,J. A.
775,NASMYTH R.,Nasmyth,R.
776,HAMILTON C. M.,Hamilton,C. M.
777,HOUGH G.,Hough,G.
778,KIDSTON R. H.,Kidston,R. H.
779,Mc.GREGOR W. F.,Mc.Gregor,W. F.
780,NEILL G. L.,Neill,G. L.
781,HAMILTON G. G.,Hamilton,G. G.
782,HOY E. S.,Hoy,E. S.
783,KIDSTON T. A.,Kidston,T. A.
784,Mc.ILROY A. J.,Mc.Ilroy,A. J.
785,NEWLING A. W.,Newling,A. W.
786,HAMILTON J. K. W.,Hamilton,J. K. W.
787,HUGHES R.,Hughes,R.
788,KING A. R.,King,A. R.
789,Mc.KERN A. C.,Mc.Kern,A. C.
790,NEWLING C. E.,Newling,C. E.
791,HANCOX H. E.,Hancox,H. E.
792,HUGHES W. J.,Hughes,W. J.
793,KING B. D.,King,B. D.
794,Mc.KERN J. G.,Mc.Kern,J. G.
795,NEWMAN H. A.,Newman,H. A.
796,HANRAHAN W.,Hanrahan,W.
797,HUMPHRIES F. G.,Humphries,F. G.
798,KING C. V.,King,C. V.
799,Mc.LACHLAN B. H.,Mc.Lachlan,B. H.
800,NEWTH F. W.,Newth,F. W.
801,HANSLOW B. B. C. B.,Hanslow,B. B. C. B.
802,HUMPHRIES S.,Humphries,S.
803,KING G.,King,G.
804,Mc.LACHLAN C. D.,Mc.Lachlan,C. D.
805,NICOLLE C. W.,Nicolle,C. W.
806,HARBUTT P. H.,Harbutt,P. H.
807,HUNT C. S.,Hunt,C. S.
808,KING G. C.,King,G. C.
809,Mc.LACHLAN D. B.,Mc.Lachlan,D. B.
810,NICOLLE N. W.,Nicolle,N. W.
811,HARDING C.,Harding,C.
812,HUNT J. W.,Hunt,J. W.
813,KING P. C.,King,P. C.
814,McLENNAN H. W.,Mclennan,H. W.
815,NOAKES E. J. D.,Noakes,E. J. D.
816,HARGREAVES J.,Hargreaves,J.
817,HUNTINGDON C. T. P.,Huntingdon,C. T. P.
818,KINGSTON C. S.,Kingston,C. S.
819,Mc.LEOD D. D.,Mc.Leod,D. D.
