Rank,Last Name,display,Initials,Conflict,Status,Service,Unit,Campaign,Gender,Decorations,Serv.No,Notes,Memorial,Memorial id,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,TERRAS,J S Terras,J.S.,,Killed in action,,,,,,,MASTERS,4,2,,,,,,,,
,THOMAS,L A Thomas,L.A.,,,,,,,,,,4,2,,,,,,,,
,THOMPSON,G B [C B ?] Thompson,G.B. [C.B.?],,,,,,,,,MASTERS,4,2,,,,,,,,
,TIDSWELL,F Tidswell,F.,,,,,,,,,,4,2,,,,,,,,
,TIDSWELL,N Tidswell,N.,,Killed in action,,,,,,,,4,2,,,,,,,,
,TRELOAR,W J Treloar,W.J.,,,,,,,,,,4,2,,,,,,,,
,TULLOCH,B Tulloch,B.,,,,,,,,,,4,2,,,,,,,,
,TURNER,B Turner,B.,,,,,,,,,,4,2,,,,,,,,
,VALDER,G Valder,G.,,,,,,,,,,4,2,,,,,,,,
,VEAL,H Veal,H.,,,,,,,,,MASTERS,4,2,,,,,,,,
,WARD,H W Ward,H.W.,,,,,,,,,,4,2,,,,,,,,
,WARD,S E Ward,S.E.,,,,,,,,,,4,2,,,,,,,,
,WARDEN,H Warden,H.,,,,,,,,,,4,2,,,,,,,,
,WESLEY,C Wesley,C.,,,,,,,,,MASTERS,4,2,,,,,,,,
,WILLIAMS,R T Williams,R.T.,,,,,,,,,,4,2,,,,,,,,
,WILSHIRE,R Wilshire,R.,,,,,,,,,,4,2,,,,,,,,
,WILSON,R Wilson,R.,,,,,,,,,,4,2,,,,,,,,
,WOODFORDE,P M Woodforde,P.M.,,Killed in action,,,,,,,,4,2,,,,,,,,
,WRIGHT,N H Wright,N.H.,,,,,,,,,,4,2,,,,,,,,
,WRIGHT,H H Wright,H.H.,,,,,,,,,,4,2,,,,,,,,
,ZLOTKOWSKI,S Zlotkowski,S.,,,,,,,,,,4,2,,,,,,,,
,HILLYAR,A U Hillyar,A.U.,, Missing,,,,,,,,4,2,,,,,,,,
,JOHNSON,F H Johnson,F.H.,,Died on service,,,,,,,,4,2,,,,,,,,
,RICHARDSON,L L Richardson,L.L.,,Died of illness,,,,,MC,,,4,2,,,,,,,,
,Carne,H J Carne,H.J.,,,,,,,,,Teacher,7,5,,,,,,,,
,Dinning,L L Dinning,L.L.,,,,,,,,,Teacher,7,5,,,,,,,,
,Hough,G Hough,G.,,,,,,,,,Teacher,7,5,,,,,,,,
,McCook,L R Mccook,L.R.,,,,,,,,,Teacher,7,5,,,,,,,,
,McGovern,J Mcgovern,J.,,,,,,,,,Teacher,7,5,,,,,,,,
,Nugent,G Nugent,G.,,Died on service,,,,,,,Teacher,7,5,,,,,,,,
,Reid,J H Reid,J.H.,,,,,,,,,Teacher,7,5,,,,,,,,
,Snow,E F Snow,E.F.,,,,,,,,,Teacher,7,5,,,,,,,,
,Ackland,R E Ackland,R.E.,,Died on service,,,,,,,Pupil,7,5,,,,,,,,
,Adams,V Adams,V.,,,,,,,,,Pupil,7,5,,,,,,,,
,Alcock,H Alcock,H.,,,,,,,,,Pupil,7,5,,,,,,,,
,Alderson,D Alderson,D.,,,,,,,,,Pupil,7,5,,,,,,,,
,Allen,J H Allen,J.H.,,,,,,,,,Pupil,7,5,,,,,,,,
,Allen,W H Allen,W.H.,,,,,,,,,Pupil,7,5,,,,,,,,
,Allerton,J P Allerton,J.P.,,,,,,,,,Pupil,7,5,,,,,,,,
,Armstrong,J C Armstrong,J.C.,,,,,,,,,Pupil,7,5,,,,,,,,
,Arnold,B Arnold,B.,,Died on service,,,,,,,Pupil,7,5,,,,,,,,
,Ashdown,C P Ashdown,C.P.,,Died on service,,,,,,,Pupil,7,5,,,,,,,,
,Attwood,J W Attwood,J.W.,,,,,,,,,Pupil,7,5,,,,,,,,
,Audsley,H W Audsley,H.W.,,,,,,,,,Pupil,7,5,,,,,,,,
,Axtens,J Axtens,J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Axtens,R Axtens,R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Aylward,C R Aylward,C.R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bailie,B Bailie,B.,,,,,,,,,Pupil,7,5,,,,,,,,
,Barry,A S Barry,A.S.,,,,,,,,,Pupil,7,5,,,,,,,,
,Barry,L H Barry,L.H.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bass,M M Bass,M.M.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bass,S F Bass,S.F.,,,,,,,DCM MC,,Pupil,7,5,,,,,,,,
,Begg,A Begg,A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bell,S H Bell,S.H.,,,,,,,,,Pupil,7,5,,,,,,,,
,Berry,G H M Berry,G.H.M.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bishop,E B Bishop,E.B.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bishop,E E Bishop,E.E.,,Died on service,,,,,,,Pupil,7,5,,,,,,,,
,Bishop,J L Bishop,J.L.,,Died on service,,,,,,,Pupil,7,5,,,,,,,,
,Black,G S Black,G.S.,,,,,,,,,Pupil,7,5,,,,,,,,
,Blacklow,J Blacklow,J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bowman,J A Bowman,J.A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Boyden,F S Boyden,F.S.,,,,,,,,,Pupil,7,5,,,,,,,,
,Boyden,N L Boyden,N.L.,,,,,,,,,Pupil,7,5,,,,,,,,
,Boyden,P M Boyden,P.M.,,,,,,,,,Pupil,7,5,,,,,,,,
,Boyden,R H Boyden,R.H.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bradridge,R C Bradridge,R.C.,,,,,,,,,Pupil,7,5,,,,,,,,
,Brogden,K T Brogden,K.T.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bright,G A Bright,G.A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Brooks,R Brooks,R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Bryant,K Bryant,K.,,,,,,,,,Pupil,7,5,,,,,,,,
,Buchanan,A Buchanan,A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Buckle,A Buckle,A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Buckman,A J Buckman,A.J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Burnett,E Burnett,E.,,,,,,,,,Pupil,7,5,,,,,,,,
,Butler,E Butler,E.,,,,,,,,,Pupil,7,5,,,,,,,,
,Butler,J Butler,J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Caldwell,J F Caldwell,J.F.,,,,,,,,,Pupil,7,5,,,,,,,,
,Caller,F C Caller,F.C.,,,,,,,,,Pupil,7,5,,,,,,,,
,Caller,J A Caller,J.A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Callingham,G Callingham,G.,,,,,,,,,Pupil,7,5,,,,,,,,
,Callingham,W B W Callingham,W.B.W.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cameron,A R Cameron,A.R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cameron,H K Cameron,H.K.,,,,,,,,,Pupil,7,5,,,,,,,,
,Campbell,D E Campbell,D.E.,,,,,,,,,Pupil,7,5,,,,,,,,
,Campbell,C T Campbell,C.T.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cannon,R G Cannon,R.G.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cannon,W J Cannon,W.J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Carney,W G Carney,W.G.,,,,,,,,,Pupil,7,5,,,,,,,,
,Carroll,S H Carroll,S.H.,,,,,,,MC,,Pupil,7,5,,,,,,,,
,Cashmore,J R Cashmore,J.R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Casper,R K Casper,R.K.,,,,,,,,,Pupil,7,5,,,,,,,,
,Casson,R O Casson,R.O.,,,,,,,,,Pupil,7,5,,,,,,,,
,Casson,T G Casson,T.G.,,,,,,,,,Pupil,7,5,,,,,,,,
,Charet,B Charet,B.,,,,,,,,,Pupil,7,5,,,,,,,,
,Chidzey,J Chidzey,J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Chichero,D Chichero,D.,,,,,,,,,Pupil,7,5,,,,,,,,
,Clark,J W Clark,J.W.,,,,,,,,,Pupil,7,5,,,,,,,,
,Clark,W J Clark,W.J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Clarke,M Clarke,M.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cleland,A Cleland,A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cleland,C S Cleland,C.S.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cleverly,A H Cleverly,A.H.,,,,,,,,,Pupil,7,5,,,,,,,,
,Clifford,J Clifford,J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cohen,D Cohen,D.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cohen,E Cohen,E.,,,,,,,,,Pupil,7,5,,,,,,,,
,Collin,S A Collin,S.A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Corbitt,E H Corbitt,E.H.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cornell,F E Cornell,F.E.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cornell,W G Cornell,W.G.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cornish,C S Cornish,C.S.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cosgrove,H M Cosgrove,H.M.,,,,,,,,,Pupil,7,5,,,,,,,,
,Crabbe,A Crabbe,A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Crabtree,H D [H O ?] Crabtree,H.D. [H.O.?],,,,,,,,,Pupil,7,5,,,,,,,,
,Crew,E J Crew,E.J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Crew,J E Crew,J.E.,,,,,,,,,Pupil,7,5,,,,,,,,
,Cross,B Cross,B.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dargan,R Dargan,R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dargan,W Dargan,W.,,,,,,,,,Pupil,7,5,,,,,,,,
,Davidson,C Davidson,C.,,,,,,,,,Pupil,7,5,,,,,,,,
,Davidson,R Davidson,R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Davis,R Davis,R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dawson,L Dawson,L.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dedden,H Dedden,H.,,,,,,,MM,,Pupil,7,5,,,,,,,,
,Dedden,N Dedden,N.,,Died on service,,,,,,,Pupil,7,5,,,,,,,,
,Dent,A H Dent,A.H.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dent,A W Dent,A.W.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dent,C W Dent,C.W.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dewhurst,S Dewhurst,S.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dewhurst,V Dewhurst,V.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dingle,F S Dingle,F.S.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dingle,S E Dingle,S.E.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dodds,F Dodds,F.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dodds,J Dodds,J.,,,,,,,,,Pupil,7,5,,,,,,,,
,Donkin,R L Donkin,R.L.,,,,,,,,,Pupil,7,5,,,,,,,,
,Doyle,J Doyle,J.,,,,,,,,,Pupil,7,5,,,,,,,,
